5635,
1,Parked,Yes,
6,Parked,No,
13,Parked,Yes,
18,Parked,Yes,
24,DeepCage,Yes,
27,Parked,Yes,
33,Parked,Yes,
38,DeepCage,Yes,
43,DeepCage,Yes,
49,DeepCage,Yes,
53,Parked,Yes,
57,Parked,Yes,
,
1690,
1,Parked,Yes,
5,Parked,Yes,
11,DeepCage,Yes,
19,DeepCage,Yes,
25,Parked,Yes,
28,Parked,Yes,
33,Parked,Yes,
36,Parked,Yes,
40,Parked,Yes,
45,Parked,Yes,
52,DeepCage,Yes,
56,DeepCage,Yes,
,
3065,
1,None,Yes,
10,None,Yes,
13,None,Yes,
16,Parked,Yes,
20,Parked,Yes,
27,Parked,Yes,
30,Parked,Yes,
34,None,Yes,
40,Parked,Yes,
47,Parked,Yes,
53,Parked,Yes,
58,None,Yes,
,
4338,
1,None,No,
9,None,Yes,
15,None,Yes,
19,Parked,Yes,
24,Parked,Yes,
29,None,Yes,
34,Parked,Yes,
38,None,Yes,
44,None,Yes,
47,Parked,Yes,
50,None,Yes,
55,None,Yes,
,
6104,
1,None,Yes,
6,Parked,Yes,
12,None,Yes,
16,None,Yes,
20,None,Yes,
29,Parked,Yes,
33,Parked,Yes,
37,None,No,
41,Parked,Yes,
44,Parked,Yes,
50,Parked,Yes,
56,Parked,Yes,
,
1943,
1,Parked,No,
10,None,Yes,
14,None,Yes,
17,None,Yes,
22,None,No,
28,Parked,Yes,
34,Parked,Yes,
39,Parked,Yes,
42,None,Yes,
45,Parked,Yes,
50,Parked,Yes,
54,Parked,Yes,
,
4416,
2,Parked,Yes,
7,Parked,Yes,
10,Parked,Yes,
15,None,No,
21,Parked,Yes,
29,Parked,No,
33,Parked,Yes,
37,Parked,Yes,
40,None,Yes,
45,Parked,Yes,
49,ShallowCage,Yes,
58,ShallowCage,Yes,
,
7067,
2,None,No,
6,None,Yes,
11,None,Yes,
15,None,Yes,
20,Parked,Yes,
28,Parked,Yes,
31,None,Yes,
35,None,Yes,
43,Parked,Yes,
48,None,Yes,
51,None,Yes,
55,Parked,Yes,
,
2096,
2,None,Yes,
6,Parked,Yes,
11,None,Yes,
19,None,Yes,
23,None,Yes,
26,Parked,Yes,
32,Parked,Yes,
39,None,Yes,
44,Parked,Yes,
48,None,Yes,
52,None,Yes,
58,None,Yes,
,
6738,
2,None,No,
8,Parked,Yes,
12,Parked,Yes,
17,None,Yes,
22,Parked,Yes,
25,Parked,Yes,
34,None,No,
38,None,Yes,
41,Parked,Yes,
48,None,Yes,
53,Parked,Yes,
57,Parked,Yes,
,
8223,
2,Parked,Yes,
7,Parked,Yes,
14,Parked,Yes,
18,Parked,Yes,
22,None,Yes,
26,None,Yes,
30,Parked,Yes,
36,Parked,Yes,
43,Parked,Yes,
46,DeepCage,Yes,
52,DeepCage,Yes,
58,DeepCage,Yes,
,
5614,
2,DeepCage,Yes,
10,DeepCage,Yes,
14,Parked,Yes,
20,DeepCage,Yes,
23,DeepCage,Yes,
29,DeepCage,Yes,
32,DeepCage,Yes,
36,DeepCage,Yes,
39,DeepCage,Yes,
47,DeepCage,Yes,
51,DeepCage,Yes,
57,DeepCage,Yes,
,
3835,
3,Parked,No,
6,Parked,No,
13,Parked,No,
17,None,Yes,
22,Parked,Yes,
26,None,Yes,
30,Parked,Yes,
36,Parked,Yes,
42,Parked,No,
45,None,Yes,
49,Parked,Yes,
55,Parked,Yes,
,
4319,
3,None,Yes,
9,None,No,
13,None,No,
19,None,Yes,
23,Parked,Yes,
26,None,Yes,
34,None,Yes,
37,Parked,Yes,
42,None,Yes,
46,Parked,Yes,
51,Parked,Yes,
56,Parked,Yes,
,
5951,
3,DeepCage,Yes,
8,DeepCage,Yes,
12,DeepCage,Yes,
16,DeepCage,Yes,
21,DeepCage,Yes,
25,DeepCage,Yes,
32,DeepCage,Yes,
35,DeepCage,Yes,
43,DeepCage,Yes,
46,DeepCage,Yes,
50,DeepCage,Yes,
54,None,Yes,
,
1942,
3,Parked,Yes,
6,Parked,Yes,
12,Parked,Yes,
15,Parked,Yes,
21,Parked,Yes,
27,None,Yes,
33,Parked,Yes,
36,None,Yes,
41,None,Yes,
46,None,Yes,
51,Parked,Yes,
58,None,Yes,
,
3083,
3,Parked,Yes,
8,Parked,Yes,
11,Parked,Yes,
16,None,Yes,
21,Parked,No,
26,None,No,
33,None,No,
39,Parked,Yes,
44,None,Yes,
47,None,Yes,
54,None,Yes,
57,Parked,Yes,
,
5654,
3,Parked,Yes,
7,Parked,Yes,
14,None,Yes,
17,None,No,
24,Parked,No,
29,Parked,Yes,
32,Parked,Yes,
35,Parked,Yes,
41,Parked,Yes,
49,Parked,No,
52,Parked,Yes,
56,None,Yes,
,
7177,
4,None,No,
8,Parked,Yes,
12,None,No,
19,None,Yes,
24,None,Yes,
27,None,Yes,
30,Parked,No,
35,None,Yes,
39,None,Yes,
48,None,No,
52,Parked,Yes,
55,None,Yes,
,
9738,
4,Parked,Yes,
7,None,No,
11,Parked,Yes,
18,Parked,Yes,
23,Parked,Yes,
28,Parked,Yes,
34,None,No,
37,Parked,Yes,
43,Parked,Yes,
47,None,Yes,
50,Parked,Yes,
55,None,Yes,
,
6230,
4,None,No,
7,None,No,
13,Parked,No,
16,Parked,Yes,
24,Parked,Yes,
28,None,Yes,
31,Parked,No,
36,None,Yes,
40,Parked,No,
46,None,Yes,
53,None,Yes,
56,None,Yes,
,
9303,
4,None,Yes,
7,Parked,No,
10,Parked,No,
19,Parked,No,
22,None,No,
25,Parked,Yes,
30,None,No,
38,Parked,No,
41,None,No,
44,Parked,Yes,
51,None,Yes,
54,None,Yes,
,
1577,
4,Parked,Yes,
9,None,Yes,
13,None,Yes,
18,None,No,
21,None,Yes,
29,Parked,Yes,
32,Parked,Yes,
35,Parked,Yes,
40,Parked,Yes,
48,None,Yes,
51,Parked,Yes,
54,Parked,Yes,
,
2630,
4,DeepCage,Yes,
9,DeepCage,Yes,
12,Parked,Yes,
17,DeepCage,Yes,
20,DeepCage,Yes,
27,DeepCage,Yes,
31,Parked,Yes,
37,DeepCage,Yes,
42,DeepCage,Yes,
45,None,No,
53,DeepCage,Yes,
57,Parked,Yes,
,
9304,
5,None,Yes,
9,Parked,Yes,
15,Parked,Yes,
20,Parked,Yes,
23,Parked,Yes,
26,None,Yes,
30,Parked,Yes,
35,Parked,Yes,
41,None,Yes,
45,None,Yes,
50,Parked,Yes,
57,Parked,Yes,
,
8175,
5,None,No,
8,Parked,Yes,
11,None,Yes,
16,None,Yes,
24,None,Yes,
27,None,Yes,
32,Parked,Yes,
38,Parked,Yes,
42,None,Yes,
46,None,Yes,
49,None,Yes,
55,None,Yes,
,
4661,
5,Parked,Yes,
10,Parked,Yes,
15,Parked,Yes,
18,Parked,Yes,
22,None,Yes,
25,Parked,Yes,
31,Parked,Yes,
38,Parked,Yes,
42,None,Yes,
47,Parked,Yes,
52,None,Yes,
56,None,Yes,
,
10695,
5,None,Yes,
8,None,Yes,
14,Parked,Yes,
18,None,Yes,
23,None,Yes,
28,Parked,Yes,
31,None,No,
37,Parked,Yes,
40,None,Yes,
44,Parked,Yes,
49,None,Yes,
54,None,No,
,
5928,
5,None,Yes,
