Match #,Blue HP Accuracy,Red HP Accuracy,Blue Processor Scored,Red Processor Scored,Blue Net Scored,Red Net Scored
1,0.0,0.75,4,1,0,3
2,Not attempted,Not attempted,0,0,0,0
3,Not attempted,1.0,1,0,0,1
4,Not attempted,Not attempted,0,0,0,2
5,Not attempted,Not attempted,0,0,0,0
6,Not attempted,Not attempted,0,0,0,0
7,Not attempted,Not attempted,0,0,3,0
8,Not attempted,Not attempted,0,0,0,0
9,Not attempted,Not attempted,0,0,0,0
10,1.0,Not attempted,0,4,4,0
11,Not attempted,Not attempted,0,0,0,0
12,Not attempted,Not attempted,0,0,0,0
13,Not attempted,Not attempted,0,0,1,0
14,0.6666666666666667,Not attempted,0,3,2,0
15,Not attempted,Not attempted,0,0,0,0
16,Not attempted,Not attempted,0,0,0,0
